Project,Bug ID,Severity Label,Resolution Status,Short Description
Bugzilla,327348,normal,FIXED,whining fails on mysql 4.0 due to date addition
Bugzilla,328203,normal,FIXED,Cannot update a product if 'usetargetmilestone' is off (and the default milestone has been previously changed)
Bugzilla,328330,normal,FIXED,Classifications are currently undocumented
Bugzilla,329042,normal,FIXED,Group.html should be groups.html in documentation links
Bugzilla,328089,trivial,FIXED,Additional Comments field columns are constant at 80 cols
Bugzilla,329163,normal,FIXED,No 'settings' template case in generic auth code
Bugzilla,329177,critical,FIXED,Bugzilla fails when there are no keywords
Bugzilla,329295,normal,FIXED,008filter fails if . is not in PATH
Bugzilla,329289,normal,FIXED,sidebar.xul.tmpl has a bad header
Bugzilla,329783,normal,FIXED,SQL crash in request.cgi when the status field is used
Bugzilla,323905,normal,FIXED,"Boolean charts do not find ""bugs which are NOT in some given group"" correctly"
Bugzilla,329323,normal,FIXED,Some browsers might not pick up comment upon new attachment
Bugzilla,323912,minor,FIXED,"When a group cannot be deleted because it is in used, ThrowUserError() should be called"
Bugzilla,329334,normal,FIXED,User::match_field() may redirect you outside your Bugzilla installation
Bugzilla,330186,blocker,FIXED,Crash when changing the status of a bug which has dependencies
Bugzilla,326122,normal,FIXED,Whine mails lack the trailing MIME boundary
Bugzilla,330577,normal,FIXED,"""its"" is wrong in comment"
Bugzilla,330519,trivial,FIXED,Remove unused IsInClassification() function from globals.pl
Bugzilla,330588,trivial,FIXED,missing newline in Search.pm
Bugzilla,331004,normal,FIXED,alias_is_numeric uses 'another' which to me implies a real one was given/accepted
Bugzilla,330996,normal,FIXED,component_not_valid could be improved
Bugzilla,331003,normal,FIXED,"auth_failure uses ""put people in or out"""
Bugzilla,330837,trivial,FIXED,"Fix sudo_in_progress to not say ""an sudo"""
Bugzilla,330985,trivial,FIXED,login_required_for_pronoun doesn't make sense
Bugzilla,329390,normal,FIXED,"Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself."""
Bugzilla,330944,trivial,FIXED,Add 'extensions' to .cvsignore
Bugzilla,332142,normal,FIXED,Incorrect output when updating components
Bugzilla,330439,normal,FIXED,"""Cancelled Because:"" needs a space after "":"""
Bugzilla,330583,trivial,FIXED,Bad alignment of ) for Alias
Bugzilla,331343,normal,FIXED,twice SQLQuote in Bugzilla::flag::modify
Bugzilla,332891,normal,FIXED,Missing SET in admin/table.html.tmpl
Bugzilla,332906,normal,FIXED,Wrong parameters passed to sudo sessions when trying to bypass validation checks
Bugzilla,323525,normal,FIXED,Style the group table as all other tables in Bugzilla
Bugzilla,333195,critical,FIXED,Cannot post a bug with keywords in it
Bugzilla,332995,trivial,FIXED,Steps to Reproduce default content has an extra linebreak
Bugzilla,332705,normal,FIXED,Already marked as duplicate - This bug has already been marked as a duplicate of bug 328615.
Bugzilla,333031,minor,FIXED,Uninitialized value when entering a new bug with no alias given
Bugzilla,333867,trivial,FIXED,contrariety example in search-help
Bugzilla,329537,normal,FIXED,Bugzilla::DB::Pg can't alter a column to be SERIAL
Bugzilla,333836,trivial,FIXED,extra </a> in sudo_password_required message
Bugzilla,334344,blocker,FIXED,process_bug.cgi is broken when changing several bugs at once
Bugzilla,333998,normal,FIXED,012throwables.t broken on Windows
Bugzilla,334617,major,FIXED,importxml.pl crashes when importing bugs having attachments from versions 2.20 or older
Bugzilla,334620,normal,FIXED,"When calling importxml.pl with the -v option, information is displayed too many times"
Bugzilla,329629,blocker,FIXED,Release Notes for 2.20.2
Bugzilla,329628,blocker,FIXED,Release Notes for 2.22
Bugzilla,329193,blocker,FIXED,"Status Update for Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,329194,blocker,FIXED,"Update ""Download"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,329195,blocker,FIXED,"Update ""Changes"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,329197,blocker,FIXED,"Update ""Release Info"" page for Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,329632,blocker,FIXED,Update New Features page for Bugzilla 2.22
Bugzilla,329196,blocker,FIXED,"Release/News Announcement for Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,329189,blocker,FIXED,"Release Bugzilla 2.20.2, 2.22, and 2.23.1"
Bugzilla,335572,normal,FIXED,"potgresql : varchar(64), value is to small or not the same as mysql"
Bugzilla,335633,normal,FIXED,"Docs still refer to ""loginmethod"""
Bugzilla,335999,normal,FIXED,Remove documentation specific to MySQL 3.x
Bugzilla,333581,minor,FIXED,Provide editbugs as default timetrackinggroup value
Bugzilla,337026,blocker,FIXED,Users with no privs cannot edit bugs anymore (if being logged out first)
Bugzilla,337209,trivial,FIXED,Missing whitespaces in the 'fieldvalue_still_has_bugs' error message
Bugzilla,337444,normal,FIXED,t/012throwables.t shouldn't fail due to unused error tags in code/user-error.html.tmpl
Bugzilla,337661,major,FIXED,"LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User"""
Bugzilla,337681,major,FIXED,"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")"
Bugzilla,337683,major,FIXED,"The user prefs tab let you change the password and email address of a user being impersonated when using the ENV method (with user_info_class=""Env,CGI"")"
Bugzilla,337705,normal,FIXED,ldap_search_error AUTH_ERROR code is not defined
Bugzilla,337777,minor,FIXED,Typo at bottom; 'myslqd' should be 'mysqld'
Bugzilla,337701,normal,FIXED,012throwables.t doesn't recognize that certain errors are AUTH_ERROR codes
Bugzilla,337747,normal,FIXED,config.cgi fails with an SQL error in Bugzilla::Keyword with no keywords defined
Bugzilla,338365,normal,FIXED,Bugzilla::BugMail calls Param() outside of any function
Bugzilla,338623,minor,FIXED,"2.20 doesn't have ""After changing bugs"" and ""Add individual bugs to saved searches"""
Bugzilla,331365,minor,FIXED,Sendmail complains about a possible attack because there's a newline in the email address
Bugzilla,323106,major,FIXED,create-series Error: 'options' is null or not an object.
Bugzilla,324784,normal,FIXED,editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi
Bugzilla,339679,normal,FIXED,bugzilla lied to me  The product Derivatives does not exist or you don't have access to it. The following is a list of the products you can choose from.
Bugzilla,338573,major,FIXED,Auth throws an insecure dependency error because username is tainted
Bugzilla,339858,normal,FIXED,Remove useless module dependencies in Bugzilla::Auth::*
Bugzilla,340130,trivial,FIXED,B8 and B9 don't have consistent URLs due to lack of section id
Bugzilla,340116,normal,FIXED,Flag::FormToNewFlags() uses incorrect data
Bugzilla,340104,normal,FIXED,Move Bugzilla::Auth::get_netaddr() in Util.pm
Bugzilla,340253,minor,FIXED,.cgi scripts should call Throw*Error() instead of die()
Bugzilla,340139,normal,FIXED,"When adding a new attachment, data inserted in the bugs_activity are quoted"
Bugzilla,340126,normal,FIXED,Windows instructions for installing XML::Twig are wrong
Bugzilla,338434,normal,FIXED,Newsgroup links in the documentation need updating
Bugzilla,340309,critical,FIXED,process_bug.cgi fails when changing several bugs at once if all bugs are in the same product
Bugzilla,340713,normal,FIXED,"Remove B4 from 2.20, 2.22 and trunk docs as we require 5.6.1 already"
Bugzilla,335743,trivial,FIXED,localconfig generated by checksetup.pl contains an extra '\'
Bugzilla,330838,trivial,FIXED,"Fix still_unresolved_bugs to not say ""has still"""
Bugzilla,340154,minor,FIXED,query.cgi#chart doesn't work anymore
Bugzilla,339667,normal,FIXED,Attachment data not deleted when deleting a component
Bugzilla,329178,trivial,FIXED,DB::Mysql has old code for MySQL 3.x
Bugzilla,340820,normal,FIXED,Update Win32 installation instructions for Bugzilla 2.22
Bugzilla,340904,normal,FIXED,We no longer have passwords in clear text
Bugzilla,340848,normal,FIXED,page.cgi?id=fields.html still contains obsolete values for Platform and OS
Bugzilla,341453,normal,FIXED,Bugzilla::Series looks for functions in global scope that are not global functions
Bugzilla,341456,minor,FIXED,Bugzilla/Search/Quicksearch.pm shouldn't use Bugzilla.pm
Bugzilla,341492,normal,FIXED,Collectstats --regenerate fails
Bugzilla,341689,normal,FIXED,'Edit Attachment As Comment' converts plain text to HTML entities
Bugzilla,341273,normal,FIXED,Add back the bugzilla version
Bugzilla,341374,normal,FIXED,checksetup fails if database exists with non-Bugzilla table
Bugzilla,341866,major,FIXED,"'changer' in editproducts.cgi must be a user login, not a user ID"
Bugzilla,342053,major,FIXED,Quicksearch.pm defined $cgi outside routines
Bugzilla,342060,blocker,FIXED,checksetup fails if no database exists
Bugzilla,341454,normal,FIXED,testserver.pl requires $::ENV{'PATH'} to be defined
Bugzilla,342130,normal,FIXED,"When using QuickSearch to find something in All products, the footer is bogus"
Bugzilla,342410,normal,FIXED,"Various modules assume functions are in global scope, when none are"
Bugzilla,342528,normal,FIXED,Undefined subroutine in showdependencytree.cgi in latest CVS
Bugzilla,342731,major,FIXED,"checksetup.pl ""answers"" file seems to be broken"
Bugzilla,342114,normal,FIXED,Bugzilla.pm caches data in global variables
Bugzilla,342121,normal,FIXED,Remove usage of Config qw(:locations) in favor of Constants::bz_locations()
Bugzilla,343189,critical,FIXED,checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade
Bugzilla,343166,major,FIXED,$template->process leaks 512K of RAM per call under mod_perl
Bugzilla,343248,normal,FIXED,SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi
Bugzilla,343294,normal,FIXED,Update notification not working without direct HTTP access
Bugzilla,343364,critical,FIXED,Changing Multiple Bugs is broken on the tip
Bugzilla,342828,normal,FIXED,"keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent"
Bugzilla,343337,normal,FIXED,process_bug.cgi calls certain constants as global subroutines
Bugzilla,341867,minor,FIXED,post_bug.cgi lets users with editbugs and canconfirm privs enter bugs as UNCONFIRMED even when votes_to_confirm is 0
Bugzilla,343566,major,FIXED,Runtests test 004 fails on some systems with a complaint about RELATIVE
Bugzilla,342861,critical,FIXED,Cannot upgrade from any version before 2.17.1.
Bugzilla,343361,normal,FIXED,die_with_dignity is useless inside of Bugzilla::CGI
Bugzilla,340967,normal,FIXED,The login form appears twice when trying to add an attachment
Bugzilla,343699,trivial,FIXED,votes.cgi: Reference found where even-sized list expected
Bugzilla,343702,minor,FIXED,"editflagtypes.cgi: Argument """" isn't numeric in numeric gt (>) at template/en/default/request/email.txt.tmpl line 155."
Bugzilla,343421,trivial,FIXED,change its to it's or its not to it isn't or something
Bugzilla,342238,normal,FIXED,There is a dependency loop between Bugzilla::User and Bugzilla::Component
Bugzilla,341195,normal,FIXED,"Update ""Download"" Page for 2.23.2"
Bugzilla,341193,normal,FIXED,Status update for 2.23.2
Bugzilla,341197,blocker,FIXED,"Update ""Changes"" Page for 2.23.2"
Bugzilla,341198,blocker,FIXED,Release/News Announcement for 2.23.2
Bugzilla,341192,blocker,FIXED,Release Bugzilla 2.23.2
Bugzilla,341285,blocker,FIXED,Update bugzilla-update.xml
Bugzilla,342757,normal,FIXED,"searching results in ""YOUR BROWSER DOESN'T SUPPORT THIS SERVER-PUSH TECHNOLOGY"" warning on brower that does under mod_perl"
Bugzilla,344106,critical,FIXED,Error upgrading Bugzilla to version 2.23.2+
Bugzilla,343916,trivial,FIXED,hidden submit button should have display: none
Bugzilla,344298,normal,FIXED,workaround for importxml.pl performance problem
Bugzilla,344497,blocker,FIXED,Cannot create new bugs
Bugzilla,344448,critical,FIXED,editparams.cgi doesn't let me clear a group in editparams.cgi
Bugzilla,344507,normal,FIXED,Users watching you: None
Bugzilla,344727,normal,FIXED,"Documentation still thinks we need XML::Parser, but we now need XML::Twig"
Bugzilla,344661,blocker,FIXED,Cannot upgrade my PostgreSQL installation anymore
Bugzilla,344903,normal,FIXED,Update Documentation version for 2.23.2 on URL
Bugzilla,344915,major,FIXED,Non-installed modules are reported incorrectly
Bugzilla,345104,minor,FIXED,$field_descs values in field_descs.none.html are overwritten by values from the DB
Bugzilla,345032,major,FIXED,Tainted value in request.cgi when restricting the search to a given flag
Bugzilla,344612,major,FIXED,$silent does not work properly in checksetup.pl anymore
Bugzilla,345244,minor,FIXED,Bug template creation window has silly title
Bugzilla,345381,critical,FIXED,Cannot add any new field in editvalues.cgi
Bugzilla,345364,normal,FIXED,"The word ""Bug"" appears bare in editparams.cgi"
Bugzilla,322848,normal,FIXED,Extremly slow performance with a lot of products (~1800) and security groups for each
Bugzilla,344282,trivial,FIXED,Require DBI 1.41+ for DBD::Pg 1.45
Bugzilla,344527,major,FIXED,Charts are broken using mod_perl
Bugzilla,345359,normal,FIXED,Prevent Flag::clear from deleting a deleted flag when checking the inclusion and exclusion lists
Bugzilla,329789,normal,FIXED,Guided doesn't seem to let me specify a component as part of the url
Bugzilla,345652,minor,FIXED,request.cgi should look at flags.modification_date instead of flags.creation_date
Bugzilla,345389,major,FIXED,Template-Toolkit 2.15 moved Template::Plugin::GD into a separate package
Bugzilla,338869,normal,FIXED,The 'quicksearch' field in the footer redirects to http:// even when sslbase is in use
Bugzilla,343752,critical,FIXED,order not properly validated
Bugzilla,333407,minor,FIXED,file_too_large error should mention AttachURL when enabled
Bugzilla,346245,normal,FIXED,attribute parameter 'mschumann@inconso.de' is not a hash ref at Bugzilla/Auth/Verify.pm line 112
Bugzilla,346295,normal,FIXED,"When Template::Plugin::GD is missing, checksetup.pl tells you to type ""ppm install Template"" instead of ""ppm install Template-Toolkit"""
Bugzilla,344647,normal,FIXED,checksetup.pl can create two database connections instead of one
Bugzilla,346350,normal,FIXED,Update makedocs.pl for the mod_perl version
Bugzilla,345970,normal,FIXED,Avoid using the string 'the web'
Bugzilla,346667,normal,FIXED,"No header field ""MIME-Version: 1.0"" in e-mails, encoded as Quoted-Printable."
Bugzilla,345929,normal,FIXED,User matching not called for requestee fields in post_bug.cgi
Bugzilla,347272,critical,FIXED,Deleting a user account crashes Bugzilla
Bugzilla,347360,trivial,FIXED,Incorrect field name in FlagType.pm
Bugzilla,347277,normal,FIXED,Entering an non-integer sortkey crashes editclassifications.cgi
Bugzilla,341869,normal,FIXED,Fix usage of HTML header tags in template/en/default/global/header.html.tmpl
Bugzilla,347712,normal,FIXED,search the Documentation function broken -> Internal Server Error
Bugzilla,347777,normal,FIXED,Intel Mac should be detected as Hardware: PC rather than Hardware: Mac
Bugzilla,347706,critical,FIXED,Params can't be updated when webservergroup is empty
Bugzilla,347817,critical,FIXED,[PostgreSQL] Cannot create a new bug object when custom fields exist
Bugzilla,347818,normal,FIXED,Cannot set Bugzilla->batch(0)
Bugzilla,347269,normal,FIXED,Deleting a user account displays incoherent comments
Bugzilla,347228,normal,FIXED,"turn off server push when X-Moz header set to ""microsummary"""
Bugzilla,348056,normal,FIXED,"win32install.html: Collectstats is mentioned to run with -T, but shouldn't"
Bugzilla,348070,minor,FIXED,"An arrayref is always ""true"""
Bugzilla,348464,major,FIXED,votes.cgi fails with a taint error
Bugzilla,348529,normal,FIXED,"Editing keywords results in a ""Software Error"""
Bugzilla,348331,trivial,FIXED,Duplicated IDs on all pages
Bugzilla,348337,minor,FIXED,enter_bug.cgi doesn't pass HTML validation
Bugzilla,330485,normal,FIXED,"Attachment links in comments still say ""edit"" instead of ""details."""
Bugzilla,347619,normal,FIXED,skins/custom/*.css not created
Bugzilla,349026,blocker,FIXED,Find a Specific Bug for Closed bugs returns NO ROWS
Bugzilla,343418,normal,FIXED,votes page doesn't tell me why a bug is crossed out
Bugzilla,348871,minor,FIXED,make show_bug valid
Bugzilla,343050,minor,FIXED,process_bug.cgi tries to send emails to too many bugs
Bugzilla,349198,normal,FIXED,001compile.t must not compile mod_perl.pl
Bugzilla,344961,trivial,FIXED,Display custom fields on show_bug.cgi before the time table
Bugzilla,337118,normal,FIXED,OS becomes Other when use windows98
Bugzilla,349554,normal,FIXED,User preference to add/remove individual bugs to saved searches should default to off
Bugzilla,349363,normal,FIXED,DB::bz_add_column() shouldn't print anything when called from editfields.cgi
Bugzilla,349367,trivial,FIXED,Display a message when a custom field has been successfully created
Bugzilla,350083,normal,FIXED,Bugzilla::AUTOLOAD tries to find Bugzilla::Bug::confess() when a bug method doesn't exist
Bugzilla,345958,major,FIXED,Inactive Flag Types should not be a fatal error - Bugzilla has suffered an internal error.
Bugzilla,349766,minor,FIXED,Use of uninitialized value in pattern match (m//) at editusers.cgi line 270
Bugzilla,338965,normal,FIXED,Add me to cc list feature is confusing
Bugzilla,350120,trivial,FIXED,undefined value when creating a new user account
Bugzilla,350237,critical,FIXED,checksetup does not properly add a short_desc index to old installations
Bugzilla,350244,major,FIXED,profiles.disabledtext has its definition changed every time checksetup runs
Bugzilla,350249,normal,FIXED,We don't need an index on bugs.short_desc
Bugzilla,334001,minor,FIXED,"""How to Release Bugzilla"" docs recommend breaking people's LASTORDER cookies"
Bugzilla,341091,normal,FIXED,checksetup problem adding indices
Bugzilla,351182,minor,FIXED,Odd number of elements in anonymous hash in editusers.cgi
Bugzilla,351300,normal,FIXED,votes.cgi crashes if your vote is the one confirming a bug
Bugzilla,349764,normal,FIXED,"CodeErrors print out a whole HTML page, even when we're not in USAGE_MODE_BROWSER"
Bugzilla,351462,major,FIXED,Errors are always displayed in plain text
Bugzilla,351478,major,FIXED,userprefs.cgi mysteriously fails (Our template-toolkit requirement is too low)
Bugzilla,351747,normal,FIXED,"skins/.cvsignore should be in the CVS repo, not created by checksetup"
Bugzilla,345547,normal,FIXED,shutdownhtml will not work under mod_perl
Bugzilla,352355,blocker,FIXED,Cannot log in on a fresh installation
Bugzilla,352702,minor,FIXED,Warnings in the web server error log when no URL is given on bug creation
Bugzilla,351958,normal,FIXED,Allow buidling the API documentation without the rest of the build environment
Bugzilla,352967,major,FIXED,"Changing a DB column type to ""serial"" is broken on postgre"
Bugzilla,352625,normal,FIXED,"""You are receiving this mail because"" messages cannot be localized"
Bugzilla,353211,minor,FIXED,account/prefs/footer.html.tmpl is dead code
Bugzilla,353358,normal,FIXED,mod_perl configuration needs a DirectoryIndex statement
Bugzilla,353706,normal,FIXED,Hooks require Template Toolkit  2.12 but we only check for 2.10
Bugzilla,349852,normal,FIXED,â€œI'm added to or removed from this capacityâ€ user pref doesn't work for new bugs
Bugzilla,351243,normal,FIXED,Public webdot server changed its IP address
Bugzilla,353820,normal,FIXED,The confirmation page when deleting a user account who has entries in the bugs_activity table fails to notify the administrator correctly
Bugzilla,353623,normal,FIXED,Sanity Check rescanallbugmail not working
Bugzilla,353796,trivial,FIXED,Rename BugMail::ProcessOneBug() as BugMail::Send
Bugzilla,353965,normal,FIXED,"object => ""field values"" doesn't exist in user-error.html.tmpl"
Bugzilla,347453,normal,FIXED,Checksetup needs Perl-LDAP for Net::LDAP module on Windows
Bugzilla,346505,blocker,FIXED,Release Notes For Bugzilla 2.22.1
Bugzilla,346502,blocker,FIXED,Release Notes For Bugzilla 2.18.6
Bugzilla,346504,blocker,FIXED,Release Notes For Bugzilla 2.20.3
Bugzilla,337151,minor,FIXED,"""How to Release Bugzilla"" docs should include instructions to avoid bug 330313 to recur"
Bugzilla,354304,normal,FIXED,Changing multiple bugs fails
Bugzilla,354314,major,FIXED,"Missing ""--do_not_change--"" option for custom select fields when changing several bugs at once"
Bugzilla,355158,normal,FIXED,Bad filtering of bug list names
Bugzilla,355172,trivial,FIXED,"[Selenium] <name=""newqueryname"" ...> needs an ID"
Bugzilla,355230,normal,FIXED,[PostgreSQL] Crash if sharer_id is not an integer
Bugzilla,352410,major,FIXED,Shared Queries don't work if usevisibiltygroups is off
Bugzilla,355709,major,FIXED,[PostgreSQL] Crash when querying the DB
Bugzilla,355744,normal,FIXED,group restriction isn't applied on bug creation
Bugzilla,355833,minor,FIXED,Groups are out of order when sharing queries
Bugzilla,355841,normal,FIXED,Bug::check_can_change_field() incorrectly updates $PrivilegesRequired
Bugzilla,355881,normal,FIXED,XML Output change to remove lots of excess whitespace
Bugzilla,356256,trivial,FIXED,missing 'are' in email notification
Bugzilla,356336,minor,FIXED,Crash when calling showdependencytree.cgi with no bug ID
Bugzilla,356393,minor,FIXED,No title is displayed when confirming a bug by popular votes
Bugzilla,323521,minor,FIXED,editkeywords.cgi does not HTMLify descriptions
Bugzilla,330555,major,FIXED,"H1, H2 and H3 are not filtered in global/header.html.tmpl"
Bugzilla,346086,minor,FIXED,attachment.cgi lets you view descriptions of private attachments even when you are not in the insidergroup
Bugzilla,355728,critical,FIXED,"XSS in the ""id"" parameter of showdependencygraph when ""doall"" is set"
Bugzilla,346564,normal,FIXED,timetracking deadline leaks in xml
Bugzilla,346507,blocker,FIXED,"Update ""Release Info"" pages for 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,346509,blocker,FIXED,"Update ""Download"" Page for 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,346510,blocker,FIXED,"Update ""Changes"" Page for 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,346508,blocker,FIXED,"Status Update for 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,346525,blocker,FIXED,"Security Advisory for 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,346506,blocker,FIXED,"Release/News Announcement for Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,356677,blocker,FIXED,Update bugzilla-update.xml
Bugzilla,355496,normal,FIXED,Link to new API documentation
Bugzilla,346501,blocker,FIXED,"Release Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3"
Bugzilla,357396,major,FIXED,"Mass-change broken due to the undesired onClick=""document.location='show_bug.cgi?id=XXX'"""
Bugzilla,357005,normal,FIXED,'cf_' should not be allowed as a custom field name
Bugzilla,340538,normal,FIXED,Insecure dependency in exec while running with -T switch at /usr/lib/perl5/site_perl/5.8.6/Mail/Mailer/sendmail.pm line 16.
Bugzilla,348923,normal,FIXED,Clean up a few more variable-scoping issues for mod_perl
Bugzilla,349855,normal,FIXED,editgroups.cgi doesn't protect the querysharegroup from deletion
Bugzilla,357429,critical,FIXED,Renaming a group which plays a special role generates a SQL error
Bugzilla,356328,normal,FIXED,$rankdir should be validated in showdependencygraph.cgi
Bugzilla,352695,normal,FIXED,Custom select fields are mandatory on bug creation (despite they shouldn't be)
Bugzilla,352699,normal,FIXED,bug creation time not available on bug creation
Bugzilla,357478,normal,FIXED,Custom fields should appear as text when they are not editable
Bugzilla,357537,minor,FIXED,MIME-Types version requirement is at least 0.02
Bugzilla,357474,major,FIXED,"whine.pl says ""email address has not been properly set"" with default parameters"
Bugzilla,357580,normal,FIXED,Flag fieldset should appear directly under People fieldset
Bugzilla,355924,minor,FIXED,report.cgi generates bare '&' in img src URL
Bugzilla,357677,blocker,FIXED,Crash on enter_bug.cgi
Bugzilla,357690,minor,FIXED,Field Values still visible in navigation bar for user with editcomponents rights
Bugzilla,357676,normal,FIXED,Missing module declarations in Bug.pm
Bugzilla,357858,minor,FIXED,Having links to search for and create a new bug 4 times on a page is excessive
Bugzilla,357374,major,FIXED,"Can't locate object method ""use_for"" via package ""Bugzilla::Group"""
Bugzilla,357433,normal,FIXED,"Labels of custom fields are left aligned on enter_bug.cgi,post_bug.cgi"
Bugzilla,355616,minor,FIXED,"Top nav should have ""Preferences,"" and shouldn't have ""Sanity Check."""
Bugzilla,358703,minor,FIXED,WebService functions version and timezone should follow bugzilla standard
Bugzilla,358956,major,FIXED,[PostgreSQL] Sequences need to be renamed when their field is renamed
Bugzilla,357526,normal,FIXED,buglist.cgi doesn't specify encoding as UTF-8 when the rest of Bugzilla does
Bugzilla,351337,normal,FIXED,"Users can add bugs to groups that they are members of, even if the group controls are NA/NA"
Bugzilla,359234,critical,FIXED,missing indexes cause upgrades to fail -- code think-o
Bugzilla,359499,trivial,FIXED,skins/standard/show_bug.css is gone
Bugzilla,359768,minor,FIXED,voting should not offer a text field if the user only has one vote available or voting error is wrong
Bugzilla,330365,minor,FIXED,"[PostgreSQL] It's somehow possible to generate two ""relevance"" columns on buglist.cgi"
Bugzilla,357873,normal,FIXED,loginnetmask param should default to 1
Bugzilla,360489,major,FIXED,"Can't locate object method ""type_name"" via package ""Bugzilla::Field"" when listing custom fields"
Bugzilla,323031,minor,FIXED,process_bug.cgi crashes when encountering a deleted user
Bugzilla,346091,normal,FIXED,"""Use of uninitialized value in integer addition"" on buglist.cgi under AIX 5.3"
Bugzilla,357391,minor,FIXED,"No space between ""Actions:"" and ""Home"" when logged out"
Bugzilla,357400,normal,FIXED,"When adding a new custom field, a sortkey of 0 is ignored"
Bugzilla,356971,minor,FIXED,make releases list easier maintenance
